Species_rep	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-00907	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-00908	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Beduini	
MGYG-HGUT-00910	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor sp900199495
MGYG-HGUT-00911	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	
MGYG-HGUT-00914	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium sp900015295
MGYG-HGUT-01621	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Pauljensenia	
MGYG-HGUT-01620	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae		
MGYG-HGUT-01622	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	
MGYG-HGUT-01623	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
MGYG-HGUT-01625	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Eikenella	Eikenella corrodens
MGYG-HGUT-01624	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus terrae
MGYG-HGUT-01606	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	
MGYG-HGUT-00913	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
MGYG-HGUT-01612	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	
MGYG-HGUT-01326	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium animalis
MGYG-HGUT-02494	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri
MGYG-HGUT-01618	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii
MGYG-HGUT-00915	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium nigeriense
MGYG-HGUT-01610	Firmicutes_A	Clostridia	Tissierellales	Sporanaerobacteraceae	Sporanaerobacter	Sporanaerobacter acetigenes
MGYG-HGUT-00916	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
MGYG-HGUT-01723	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA5446	
MGYG-HGUT-01611	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Phocea	Phocea massiliensis
MGYG-HGUT-03374	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia
MGYG-HGUT-01615	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	
MGYG-HGUT-00919	Firmicutes_A	Clostridia	Lachnospirales	Cellulosilyticaceae	Niameybacter	
MGYG-HGUT-01617	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	
MGYG-HGUT-01616	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
MGYG-HGUT-00920	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	
MGYG-HGUT-00921	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
MGYG-HGUT-00922	Firmicutes_A	Clostridia	Christensenellales			
MGYG-HGUT-01651	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1191	
