Species_rep	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-00001	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	
MGYG-HGUT-00262	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium hallii
MGYG-HGUT-01338	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia wexlerae
MGYG-HGUT-00002	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900066165
MGYG-HGUT-00249	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena faecis
MGYG-HGUT-02371	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	Tidjanibacter inops
MGYG-HGUT-00074	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii
MGYG-HGUT-00003	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
MGYG-HGUT-00080	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae
MGYG-HGUT-00004	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
MGYG-HGUT-00147	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis
MGYG-HGUT-02549	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
MGYG-HGUT-02455	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus
MGYG-HGUT-03684	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella massiliensis
MGYG-HGUT-01386	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium clostridioforme
MGYG-HGUT-00005	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter glycolicus
MGYG-HGUT-02514	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
MGYG-HGUT-02538	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
MGYG-HGUT-00006	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
MGYG-HGUT-00007	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus intestinalis
MGYG-HGUT-00008	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
MGYG-HGUT-00009	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus murinus
MGYG-HGUT-01336	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
MGYG-HGUT-02506	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
MGYG-HGUT-02438	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis
MGYG-HGUT-00010	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus lentus
MGYG-HGUT-00011	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
MGYG-HGUT-00012	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
MGYG-HGUT-02281	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis
MGYG-HGUT-01337	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
MGYG-HGUT-00265	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides nordii
MGYG-HGUT-00013	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-00098	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides bouchesdurhonensis
MGYG-HGUT-01346	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
MGYG-HGUT-01345	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens
MGYG-HGUT-00144	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis
MGYG-HGUT-01292	Actinobacteriota	Actinobacteria	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium infantis
MGYG-HGUT-03683	Actinobacteriota	Actinobacteria	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum
MGYG-HGUT-00133	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp000433815
MGYG-HGUT-00203	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa
MGYG-HGUT-00179	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	
MGYG-HGUT-00014	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum
MGYG-HGUT-00015	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter mori
MGYG-HGUT-00102	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	
MGYG-HGUT-00016	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum sp001304995
MGYG-HGUT-01560	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Massilioclostridium	Massilioclostridium coli
MGYG-HGUT-01400	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum
MGYG-HGUT-01367	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium symbiosum
MGYG-HGUT-01328	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tertium
MGYG-HGUT-00017	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-00018	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
MGYG-HGUT-02487	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	Gordonibacter pamelaeae
MGYG-HGUT-00019	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
MGYG-HGUT-02503	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii
MGYG-HGUT-00175	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena sp000509105
MGYG-HGUT-01368	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena fissicatena
MGYG-HGUT-02492	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis
MGYG-HGUT-00139	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium sp000434315
MGYG-HGUT-00110	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	
MGYG-HGUT-00020	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus curvatus
MGYG-HGUT-02387	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
MGYG-HGUT-01334	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ruminis
MGYG-HGUT-00021	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vaginalis
MGYG-HGUT-01341	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides
MGYG-HGUT-01296	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici
MGYG-HGUT-00076	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis
MGYG-HGUT-02321	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus bicirculans
MGYG-HGUT-02349	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
MGYG-HGUT-00277	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
MGYG-HGUT-00199	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
MGYG-HGUT-00103	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		
MGYG-HGUT-00185	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
MGYG-HGUT-00132	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Beduini	
MGYG-HGUT-02424	Firmicutes_A	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	Monoglobus pectinilyticus
MGYG-HGUT-01434	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus pullicaecorum
MGYG-HGUT-02504	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter himalayensis
MGYG-HGUT-00069	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium	Clostridium leptum
MGYG-HGUT-01697	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium saccharogumia
MGYG-HGUT-00038	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea longicatena
MGYG-HGUT-00022	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG-HGUT-01374	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena torques
MGYG-HGUT-00023	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
MGYG-HGUT-01322	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger variabile
MGYG-HGUT-02480	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens
MGYG-HGUT-02395	Actinobacteriota	Actinobacteria	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
MGYG-HGUT-00255	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp900066055
MGYG-HGUT-00140	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56	CAG-56 sp900066615
MGYG-HGUT-02277	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	Marvinbryantia sp900066075
MGYG-HGUT-00031	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900066205
MGYG-HGUT-00024	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium massiliensis
MGYG-HGUT-00025	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus nepalensis
MGYG-HGUT-00105	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus
MGYG-HGUT-02528	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
MGYG-HGUT-00026	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium mitsuokai
MGYG-HGUT-00149	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saudiense
MGYG-HGUT-00027	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella jalaludinii
MGYG-HGUT-00231	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
MGYG-HGUT-00028	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
MGYG-HGUT-02271	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066135	GCA-900066135 sp900066135
MGYG-HGUT-01315	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus comes
MGYG-HGUT-00271	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
MGYG-HGUT-00206	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp900066555
MGYG-HGUT-00201	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900066145
MGYG-HGUT-00212	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia obeum
MGYG-HGUT-00029	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii
MGYG-HGUT-00034	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Massilimaliae	Massilimaliae timonensis
MGYG-HGUT-00085	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG-HGUT-00030	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-603	CAG-603 sp900066105
MGYG-HGUT-01528	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena sp001487105
MGYG-HGUT-00251	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans
MGYG-HGUT-00032	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella effluvii
MGYG-HGUT-01380	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena gnavus
MGYG-HGUT-00033	Firmicutes_A	Clostridia	Monoglobales	UBA1381	CAG-41	CAG-41 sp900066215
MGYG-HGUT-00189	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus sp900066115
MGYG-HGUT-00035	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica
MGYG-HGUT-00036	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	GCA-900066995	GCA-900066995 sp900291955
MGYG-HGUT-03694	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis
MGYG-HGUT-00037	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sp001543345
MGYG-HGUT-00039	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG-HGUT-02272	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG-HGUT-01433	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salyersiae
MGYG-HGUT-00196	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
MGYG-HGUT-02444	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp003024675
MGYG-HGUT-00045	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp000752095
MGYG-HGUT-00143	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis
MGYG-HGUT-00040	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1191	UBA1191 sp900066305
MGYG-HGUT-02396	Actinobacteriota	Actinobacteria	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
MGYG-HGUT-00059	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900066645
MGYG-HGUT-00142	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia massiliensis
MGYG-HGUT-00263	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900066335
MGYG-HGUT-00252	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia obeum
MGYG-HGUT-00041	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066365
MGYG-HGUT-02285	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp900066375
MGYG-HGUT-00051	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066575	GCA-900066575 sp900066385
MGYG-HGUT-00154	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-45	CAG-45 sp900066395
MGYG-HGUT-02372	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
MGYG-HGUT-01456	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium ramulus
MGYG-HGUT-00078	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae
MGYG-HGUT-00198	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium citroniae
MGYG-HGUT-02327	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp900066435
MGYG-HGUT-02478	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei
MGYG-HGUT-00042	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900066445
MGYG-HGUT-00043	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900066455
MGYG-HGUT-00044	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae
MGYG-HGUT-01413	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma massiliensis
MGYG-HGUT-01396	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella innocuum
MGYG-HGUT-00046	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera sp900066485
MGYG-HGUT-00047	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium disporicum
MGYG-HGUT-00151	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium paraputrificum
MGYG-HGUT-00048	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium ventriculi
MGYG-HGUT-00049	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	GCA-900066495 sp900066495
MGYG-HGUT-00050	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900066505
MGYG-HGUT-00146	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea formicigenerans
MGYG-HGUT-00205	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp900066535
MGYG-HGUT-00268	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena sp900066545
MGYG-HGUT-00217	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
MGYG-HGUT-00060	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens
MGYG-HGUT-01499	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta
MGYG-HGUT-00052	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes sp000508985
MGYG-HGUT-00053	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002358415
MGYG-HGUT-00054	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens
MGYG-HGUT-00099	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii
MGYG-HGUT-00055	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale
MGYG-HGUT-00056	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp002358615
MGYG-HGUT-01694	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
MGYG-HGUT-00057	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp002491635
MGYG-HGUT-00058	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium sp900066595
MGYG-HGUT-00061	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG-HGUT-01398	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp000163515
MGYG-HGUT-00062	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii
MGYG-HGUT-00063	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	Emergencia sp900066695
MGYG-HGUT-00064	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium baratii
MGYG-HGUT-00065	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes sp900066705
MGYG-HGUT-02279	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea longicatena
MGYG-HGUT-00150	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella hathewayi
MGYG-HGUT-03695	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	Ruminococcus sp003011855
MGYG-HGUT-00066	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066755	GCA-900066755 sp900066755
MGYG-HGUT-00067	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp900066765
MGYG-HGUT-03702	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp900066775
MGYG-HGUT-02330	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella tayi
MGYG-HGUT-00068	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum sp900291975
MGYG-HGUT-02530	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium	Ruminiclostridium siraeum
MGYG-HGUT-00070	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900066825
MGYG-HGUT-00071	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus
MGYG-HGUT-00072	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1394	UBA1394 sp900066845
MGYG-HGUT-02340	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas butyriciproducens
MGYG-HGUT-00089	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-353	CAG-353 sp900066885
MGYG-HGUT-01502	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas massiliensis
MGYG-HGUT-00073	Firmicutes_A	Clostridia	Christensenellales	GCA-900066905	GCA-900066905	GCA-900066905 sp900066905
MGYG-HGUT-01378	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
MGYG-HGUT-00075	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066935	GCA-900066935 sp900066925
MGYG-HGUT-00077	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium hallii
MGYG-HGUT-00193	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615 sp900066985
MGYG-HGUT-01300	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG-HGUT-00258	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus	Ruminococcus bromii
MGYG-HGUT-02324	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
MGYG-HGUT-02320	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
MGYG-HGUT-00238	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
MGYG-HGUT-00106	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum
MGYG-HGUT-00079	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	
MGYG-HGUT-02369	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
MGYG-HGUT-01293	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
MGYG-HGUT-00081	Actinobacteriota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium propinquum
MGYG-HGUT-02388	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
MGYG-HGUT-00104	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
MGYG-HGUT-01304	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme
MGYG-HGUT-00082	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter fasciculus
MGYG-HGUT-00083	Firmicutes	Bacilli	Bacillales	Bacillaceae_A	Bacillus	Bacillus simplex
MGYG-HGUT-01303	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea scindens
MGYG-HGUT-03681	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
MGYG-HGUT-00084	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis
MGYG-HGUT-01361	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis
MGYG-HGUT-00086	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
MGYG-HGUT-00141	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
MGYG-HGUT-00087	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp000435795
