BACT	Phylum	Class	Order	Family	Genus	Species	Strain
BACT_708	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes FSL J1-175
BACT_710	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes FSL J1-208
BACT_711	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes FSL J2-064
BACT_713	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes FSL R2-503
BACT_716	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes J0161
BACT_351	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium ferrooxidans	Chlorobium ferrooxidans DSM 13031
BACT_506	Proteobacteria	Gammaproteobacteria			Candidatus Endoriftia	Candidatus Endoriftia persephone	Candidatus Endoriftia persephone str. Hot96_1+Hot96_2
BACT_715	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes HPB2262
BACT_562	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Fulvimarina	Fulvimarina pelagi	Fulvimarina pelagi HTCC2506
BACT_1014	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca	Pelagibaca bermudensis	Pelagibaca bermudensis HTCC2601
